A00,ADC0_DP1
A01,ADC0_DM1
A02,ADC1_DP1
A03,ADC1_DM1
A04,ADC0_DP0 ADC1_DP3 
A05,ADC0_DM0 ADC1_DM3
A06,ADC1_DP0 ADC0_DP3
A07,ADC1_DM0 ADC0_DM3
A08,DAC0_OUT CMP1_IN3 ADC0_SE23
A09,VREF_OUT CMP1_IN5 CMP0_IN5 ADC1_SE18
D00,PTB18
D01,PTC16
D02,PTB19
D03,PTC17
D04,PTC1 LLWU_P6
D05,PTB9
D06,PTC8
D07,PTA1
D08,PTC9
D09,PTB23
D10,PTC0
D11,PTA2
D12,PTC7
D13,PTC2
D14,PTC5 LLWU_P9
D15,PTC3 LLWU_P7
D16,PTE26
D17,PTA0
D18,PTC4 LLWU_P8
D19,PTD0 LLWU_P12
D20,PTD2 LLWU_P13
D21,PTD3
D22,PTD1
D23,PTE25
D24,PTE24
D25,PTB2
D26,PTB3
D27,PTB10
D28,PTB11
D29,PTC11 LLWU_P11
D30,PTC10
D31,PTB20
LedGrn,PTB21
LedRed,PTB22
